Remove Pin=U13A-2 From Net=M_TILT_PH
Remove Pin=U13A-3 From Net=M_ZOOM_FAULT
Remove Pin=U13A-4 From Net=M_ZOOM_PH
Remove Pin=U13A-8 From Net=ADC_W
Remove Pin=U13A-9 From Net=ADC_C
Remove Pin=U13A-10 From Net=M_PAN_IPROPI
Remove Pin=U13A-11 From Net=M_TILT_IPROPI
Remove Pin=U13A-14 From Net=M_ZOOM_IPROPI
Remove Pin=U13A-54 From Net=M_PAN_FAULT
Remove Pin=U13A-55 From Net=M_PAN_PH
Remove Pin=U13A-56 From Net=PWM_W
Remove Pin=U13A-57 From Net=PWM_C
Remove Pin=U13A-58 From Net=M_PAN_EN
Remove Pin=U13A-59 From Net=M_TILT_EN
Remove Pin=U13A-61 From Net=M_ZOOM_EN
Remove Pin=U13A-62 From Net=M_TILT_FAULT
Change Component Designator: OldDesignator=R12 NewDesignator=R9
Change Component Designator: OldDesignator=R14 NewDesignator=R34
Change Component Designator: OldDesignator=R15 NewDesignator=R35
Change Component Designator: OldDesignator=R16 NewDesignator=R25
Change Component Designator: OldDesignator=R17 NewDesignator=R31
Change Component Designator: OldDesignator=R18 NewDesignator=R46
Change Component Designator: OldDesignator=R19 NewDesignator=R27
Change Component Designator: OldDesignator=R20 NewDesignator=R48
Change Component Designator: OldDesignator=R21 NewDesignator=R40
Change Component Designator: OldDesignator=R22 NewDesignator=R44
Change Component Designator: OldDesignator=R23 NewDesignator=R51
Change Component Designator: OldDesignator=R24 NewDesignator=R22
Change Component Designator: OldDesignator=R25 NewDesignator=R89
Change Component Designator: OldDesignator=R26 NewDesignator=R45
Change Component Designator: OldDesignator=R27 NewDesignator=R50
Change Component Designator: OldDesignator=R28 NewDesignator=R11
Change Component Designator: OldDesignator=R29 NewDesignator=R21
Change Component Designator: OldDesignator=R30 NewDesignator=R3
Change Component Designator: OldDesignator=R31 NewDesignator=R41
Change Component Designator: OldDesignator=R32 NewDesignator=R8
Change Component Designator: OldDesignator=R33 NewDesignator=R12
Change Component Designator: OldDesignator=R34 NewDesignator=R29
Change Component Designator: OldDesignator=R35 NewDesignator=R6
Change Component Designator: OldDesignator=R36 NewDesignator=R14
Change Component Designator: OldDesignator=R37 NewDesignator=R42
Change Component Designator: OldDesignator=R38 NewDesignator=R59
Change Component Designator: OldDesignator=R39 NewDesignator=R65
Change Component Designator: OldDesignator=R40 NewDesignator=R30
Change Component Designator: OldDesignator=R41 NewDesignator=R56
Change Component Designator: OldDesignator=R42 NewDesignator=R32
Change Component Designator: OldDesignator=R44 NewDesignator=R64
Change Component Designator: OldDesignator=R45 NewDesignator=R28
Change Component Designator: OldDesignator=R46 NewDesignator=R66
Change Component Designator: OldDesignator=R47 NewDesignator=R39
Change Component Designator: OldDesignator=R48 NewDesignator=R26
Change Component Designator: OldDesignator=R49 NewDesignator=R33
Change Component Designator: OldDesignator=R50 NewDesignator=R88
Change Component Designator: OldDesignator=R51 NewDesignator=R63
Change Component Designator: OldDesignator=R52 NewDesignator=R1
Change Component Designator: OldDesignator=R53 NewDesignator=R20
Change Component Designator: OldDesignator=R54 NewDesignator=R84
Change Component Designator: OldDesignator=R55 NewDesignator=R85
Change Component Designator: OldDesignator=R56 NewDesignator=R83
Change Component Designator: OldDesignator=R57 NewDesignator=R5
Change Component Designator: OldDesignator=R58 NewDesignator=R71
Change Component Designator: OldDesignator=R59 NewDesignator=R54
Change Component Designator: OldDesignator=R60 NewDesignator=R68
Change Component Designator: OldDesignator=R61 NewDesignator=R70
Change Component Designator: OldDesignator=R62 NewDesignator=R57
Change Component Designator: OldDesignator=R63 NewDesignator=R67
Change Component Designator: OldDesignator=R64 NewDesignator=R69
Change Component Designator: OldDesignator=R65 NewDesignator=R60
Change Component Designator: OldDesignator=R66 NewDesignator=R75
Change Component Designator: OldDesignator=R67 NewDesignator=R77
