Net Status Report
Filename     : E:\Light\Light_Global_Board(100volt)\V1.00\PCB1.PcbDoc
Date         : 6/16/2021
Time         : 12:59:23 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetR46_2, Signal Layers Only, 5.8514mm
    NetR47_2, Signal Layers Only, 5.4489mm
    NetR49_1, Signal Layers Only, 5.1867mm
    NetR4_1, Signal Layers Only, 16.7977mm
    NetR55_1, Signal Layers Only, 5.3967mm
    NetR60_1, Signal Layers Only, 6.8453mm
    NetR61_1, Signal Layers Only, 2.8294mm
    NetR62_2, Signal Layers Only, 5.9949mm
    NetR64_2, Signal Layers Only, 8.0085mm
    NetR65_2, Signal Layers Only, 8.506mm
    NetR69_1, Signal Layers Only, 7.1199mm
    NetR75_1, Signal Layers Only, 6.2567mm
    NetR78_1, Signal Layers Only, 13.0165mm
    NetR8_1, Signal Layers Only, 19.9497mm
    NetR9_1, Signal Layers Only, 6.89mm
    PAN_ADC, Signal Layers Only, 24.1016mm
    POWER_GND, Signal Layers Only, 196.8418mm
    PWM_C, Signal Layers Only, 51.8129mm
    PWM_W, Signal Layers Only, 23.9029mm
    ROTARY_KEY, Signal Layers Only, 42.9247mm
    ROTARY_M1, Signal Layers Only, 32.7517mm
    ROTARY_M2, Signal Layers Only, 35.4832mm
    SCL, Signal Layers Only, 22.0244mm
    SDA, Signal Layers Only, 23.5408mm
    SWCLK, Signal Layers Only, 75.4436mm
    SWDATA, Signal Layers Only, 67.6479mm
    TEMPERATURE, Signal Layers Only, 51.4859mm
    TILT_ADC, Signal Layers Only, 35.548mm
    ZOOM_ADC, Signal Layers Only, 19.5919mm
count : 152
